,name,geo_type,popestimate2010,popestimate2020,n_pop_chg_2010_2020,births_2010_2020,deaths_2010_2020,natural_increase_2010_2020,int_migration_2010_2020,dom_migration_2010_2020,net_migration_2010_2020,dom_migration_rate_1020,int_migration_rate_1020
0,"Callahan County, TX",County or equivalent,13511,14110,565,1407,1796,-389,48,915,963,0.06772259640293095,0.003552660794907853
1,"Jones County, TX",County or equivalent,20237,19875,-317,1692,1939,-247,64,-156,-92,-0.007708652468251223,0.003162524089538964
2,"Taylor County, TX",County or equivalent,131842,139200,7685,21063,13612,7451,3101,-2816,285,-0.021358899288542347,0.02352057766113985
3,"Portage County, OH",County or equivalent,161397,162583,1153,14587,14812,-225,4560,-3127,1433,-0.01937458564905172,0.028253313258610763
4,"Summit County, OH",County or equivalent,541659,538866,-2919,61809,59322,2487,10163,-15250,-5087,-0.028154244644693432,0.018762727103214385
5,"Dougherty County, GA",County or equivalent,94521,86477,-8087,13278,9445,3833,737,-12720,-11983,-0.13457326943218967,0.0077972090858116185
6,"Lee County, GA",County or equivalent,28417,30234,1939,3597,2201,1396,157,369,526,0.012985184924517014,0.0055248618784530384
7,"Terrell County, GA",County or equivalent,9525,8523,-984,1185,1097,88,0,-1081,-1081,-0.11349081364829396,0.0
8,"Worth County, GA",County or equivalent,21692,19972,-1695,2450,2393,57,17,-1785,-1768,-0.0822884012539185,0.0007836990595611285
9,"Linn County, OR",County or equivalent,116887,131054,14373,15074,12929,2145,214,12059,12273,0.10316801697365832,0.0018308280647120726
10,"Albany County, NY",County or equivalent,304085,303654,-545,31521,28058,3463,9285,-13138,-3853,-0.043205024910797966,0.03053422562770278
11,"Rensselaer County, NY",County or equivalent,159342,158108,-1327,16903,15612,1291,2349,-4896,-2547,-0.0307263621644011,0.014741875964905674
12,"Saratoga County, NY",County or equivalent,220123,230298,10700,22195,18828,3367,2597,4867,7464,0.02211036556834134,0.01179794932833007
13,"Schenectady County, NY",County or equivalent,154867,155358,600,18506,15884,2622,3281,-5219,-1938,-0.03369988441695132,0.021185920822383082
14,"Schoharie County, NY",County or equivalent,32684,31132,-1591,2712,2991,-279,99,-1423,-1324,-0.043538122628809205,0.003029005017745686
15,"Bernalillo County, NM",County or equivalent,663940,681666,19197,79605,56600,23005,12267,-15627,-3360,-0.023536765370364792,0.0184760671144983
16,"Sandoval County, NM",County or equivalent,132437,148904,17281,14845,10871,3974,426,12919,13345,0.09754826823319768,0.003216623753180758
17,"Torrance County, NM",County or equivalent,16399,15486,-889,1605,1577,28,400,-1345,-945,-0.0820171961704982,0.02439173120312214
18,"Valencia County, NM",County or equivalent,76805,77574,985,8647,6684,1963,491,-1471,-980,-0.019152398932361172,0.006392812967905735
19,"Grant Parish, LA",County or equivalent,22346,22254,-64,2563,2221,342,107,-498,-391,-0.022285867716817332,0.004788329007428623
20,"Rapides Parish, LA",County or equivalent,131742,128567,-3025,18231,14777,3454,718,-7139,-6421,-0.05418924868303199,0.0054500463026217905
21,"Warren County, NJ",County or equivalent,108572,105624,-3015,9855,10213,-358,1446,-4093,-2647,-0.03769848579744317,0.0133183509560476
22,"Carbon County, PA",County or equivalent,65247,64081,-1163,5937,8317,-2380,172,1099,1271,0.016843686299753247,0.002636136527349917
23,"Lehigh County, PA",County or equivalent,350008,370802,21294,43002,34811,8191,18730,-5441,13289,-0.015545358963223697,0.053513062558570086
24,"Northampton County, PA",County or equivalent,297941,305892,8188,29266,30492,-1226,6204,3502,9706,0.011754004987564652,0.02082291460389809
25,"Blair County, PA",County or equivalent,127049,121007,-6114,13050,16583,-3533,287,-2769,-2482,-0.0217947406118899,0.0022589709482168296
26,"Armstrong County, TX",County or equivalent,1902,1869,-32,200,287,-87,10,45,55,0.02365930599369085,0.005257623554153523
27,"Carson County, TX",County or equivalent,6164,5854,-332,560,677,-117,21,-240,-219,-0.03893575600259572,0.003406878650227125
28,"Oldham County, TX",County or equivalent,2050,2135,83,224,153,71,3,6,9,0.002926829268292683,0.0014634146341463415
29,"Potter County, TX",County or equivalent,121329,116004,-5033,19400,12196,7204,4965,-17285,-12320,-0.1424638792044771,0.0409217911628712
30,"Randall County, TX",County or equivalent,121221,139899,19138,16873,10694,6179,1275,11674,12949,0.09630344577259717,0.010517979557997376
31,"Boone County, IA",County or equivalent,26271,26277,-31,2952,3069,-117,-2,103,101,0.0039206729854211865,-7.612957253245023e-05
32,"Story County, IA",County or equivalent,89661,98237,8695,9301,5291,4010,7400,-2770,4630,-0.030894145726681605,0.08253309688716387
33,"Anchorage Municipality, AK",County or equivalent,293760,287095,-5157,45399,17327,28072,9573,-43029,-33456,-0.14647671568627452,0.032587826797385616
34,"Matanuska-Susitna Borough, AK",County or equivalent,89731,110213,21232,14306,6012,8294,888,11907,12795,0.13269661543948022,0.009896245444718102
35,"Washtenaw County, MI",County or equivalent,345980,366473,21056,37579,23063,14516,19183,-12452,6731,-0.03599051968321868,0.05544540146829297
36,"Calhoun County, AL",County or equivalent,118420,113469,-5064,13556,14808,-1252,540,-4306,-3766,-0.0363621009964533,0.004560040533693633
37,"Calumet County, WI",County or equivalent,49041,50209,1228,5371,3436,1935,141,-845,-704,-0.01723048061825819,0.002875145286596929
38,"Outagamie County, WI",County or equivalent,176843,188766,12152,23269,14164,9105,1817,1370,3187,0.007746984613470706,0.010274650396114068
