"GEO_ID","id"
"NAME","Geographic Area Name"
"P002001","Total"
"P002002","Total!!Hispanic or Latino"
"P002003","Total!!Not Hispanic or Latino"
"P002004","Total!!Not Hispanic or Latino!!Population of one race"
"P002005","Total!!Not Hispanic or Latino!!Population of one race!!White alone"
"P002006","Total!!Not Hispanic or Latino!!Population of one race!!Black or African American alone"
"P002007","Total!!Not Hispanic or Latino!!Population of one race!!American Indian and Alaska Native alone"
"P002008","Total!!Not Hispanic or Latino!!Population of one race!!Asian alone"
"P002009","Total!!Not Hispanic or Latino!!Population of one race!!Native Hawaiian and Other Pacific Islander alone"
"P002010","Total!!Not Hispanic or Latino!!Population of one race!!Some Other Race alone"
"P002011","Total!!Not Hispanic or Latino!!Two or More Races"
"P002012","Total!!Not Hispanic or Latino!!Two or More Races!!Population of two races"
"P002013","Total!!Not Hispanic or Latino!!Two or More Races!!Population of two races!!White; Black or African American"
"P002014","Total!!Not Hispanic or Latino!!Two or More Races!!Population of two races!!White; American Indian and Alaska Native"
"P002015","Total!!Not Hispanic or Latino!!Two or More Races!!Population of two races!!White; Asian"
"P002016","Total!!Not Hispanic or Latino!!Two or More Races!!Population of two races!!White; Native Hawaiian and Other Pacific Islander"
"P002017","Total!!Not Hispanic or Latino!!Two or More Races!!Population of two races!!White; Some Other Race"
"P002018","Total!!Not Hispanic or Latino!!Two or More Races!!Population of two races!!Black or African American; American Indian and Alaska Native"
"P002019","Total!!Not Hispanic or Latino!!Two or More Races!!Population of two races!!Black or African American; Asian"
"P002020","Total!!Not Hispanic or Latino!!Two or More Races!!Population of two races!!Black or African American; Native Hawaiian and Other Pacific Islander"
"P002021","Total!!Not Hispanic or Latino!!Two or More Races!!Population of two races!!Black or African American; Some Other Race"
"P002022","Total!!Not Hispanic or Latino!!Two or More Races!!Population of two races!!American Indian and Alaska Native; Asian"
"P002023","Total!!Not Hispanic or Latino!!Two or More Races!!Population of two races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"P002024","Total!!Not Hispanic or Latino!!Two or More Races!!Population of two races!!American Indian and Alaska Native; Some Other Race"
"P002025","Total!!Not Hispanic or Latino!!Two or More Races!!Population of two races!!Asian; Native Hawaiian and Other Pacific Islander"
